time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.0,6.89,0.97,0.0
20190101:0110,0.0,0.0,0.0,6.69,0.83,0.0
20190101:0210,0.0,0.0,0.0,6.43,0.69,0.0
20190101:0310,0.0,0.0,0.0,6.11,0.62,0.0
20190101:0410,0.0,0.0,0.0,5.78,0.69,0.0
20190101:0510,0.0,0.0,0.0,5.55,0.76,0.0
20190101:0610,0.0,0.0,0.0,5.44,0.9,0.0
20190101:0710,0.0,0.0,0.0,4.17,0.9,0.0
20190101:0810,18742000.0,231.3,5.06,3.88,1.03,0.0
20190101:0910,47352000.0,560.28,13.99,4.9,0.76,0.0
20190101:1010,64044000.0,792.05,21.23,7.91,0.28,0.0
20190101:1110,70125000.0,899.59,26.18,11.91,0.28,0.0
20190101:1210,73309000.0,951.02,28.26,13.51,0.48,0.0
20190101:1310,71911000.0,923.76,27.19,14.41,0.9,0.0
20190101:1410,62947000.0,793.05,23.12,14.84,1.1,0.0
20190101:1510,47998000.0,594.45,16.55,14.78,1.17,0.0
20190101:1610,25428000.0,324.03,8.11,14.04,1.1,0.0
20190101:1710,0.0,0.0,0.0,12.09,1.38,0.0
20190101:1810,0.0,0.0,0.0,9.36,1.38,0.0
20190101:1910,0.0,0.0,0.0,8.22,1.38,0.0
20190101:2010,0.0,0.0,0.0,8.22,1.1,0.0
20190101:2110,0.0,0.0,0.0,7.73,1.03,0.0
20190101:2210,0.0,0.0,0.0,6.93,1.03,0.0
20190101:2310,0.0,0.0,0.0,6.99,0.97,0.0
20190102:0010,0.0,0.0,0.0,6.78,1.03,0.0
20190102:0110,0.0,0.0,0.0,6.23,1.24,0.0
20190102:0210,0.0,0.0,0.0,6.57,0.97,0.0
20190102:0310,0.0,0.0,0.0,6.25,0.48,0.0
20190102:0410,0.0,0.0,0.0,5.89,0.28,0.0
20190102:0510,0.0,0.0,0.0,5.39,0.41,0.0
20190102:0610,0.0,0.0,0.0,4.95,0.41,0.0
20190102:0710,0.0,0.0,0.0,4.57,0.62,0.0
20190102:0810,19744000.0,244.16,5.05,4.39,0.48,0.0
20190102:0910,45797000.0,544.59,13.99,4.84,0.28,0.0
20190102:1010,63327000.0,781.71,21.26,7.51,0.21,0.0
20190102:1110,70975000.0,896.35,26.23,9.87,0.48,0.0
20190102:1210,74227000.0,949.18,28.35,11.35,0.62,0.0
20190102:1310,71876000.0,915.56,27.3,12.32,0.76,0.0
20190102:1410,63327000.0,792.73,23.24,12.81,0.9,0.0
20190102:1510,48565000.0,595.59,16.68,12.75,1.17,0.0
20190102:1610,25704000.0,323.79,8.24,12.08,1.31,0.0
20190102:1710,0.0,0.0,0.0,10.51,1.45,0.0
20190102:1810,0.0,0.0,0.0,7.97,1.24,0.0
20190102:1910,0.0,0.0,0.0,6.46,1.31,0.0
20190102:2010,0.0,0.0,0.0,4.98,1.52,0.0
20190102:2110,0.0,0.0,0.0,3.42,1.72,0.0
20190102:2210,0.0,0.0,0.0,2.27,1.72,0.0
20190102:2310,0.0,0.0,0.0,1.81,1.59,0.0
20190103:0010,0.0,0.0,0.0,1.5,1.59,0.0
20190103:0110,0.0,0.0,0.0,0.94,1.66,0.0
20190103:0210,0.0,0.0,0.0,0.41,1.66,0.0
20190103:0310,0.0,0.0,0.0,0.22,1.59,0.0
20190103:0410,0.0,0.0,0.0,0.26,1.45,0.0
20190103:0510,0.0,0.0,0.0,0.15,1.38,0.0
20190103:0610,0.0,0.0,0.0,-0.12,1.38,0.0
20190103:0710,0.0,0.0,0.0,-0.22,1.45,0.0
20190103:0810,17713000.0,215.71,5.04,0.03,1.45,0.0
20190103:0910,47365000.0,551.34,14.01,2.25,1.03,0.0
20190103:1010,64891000.0,782.43,21.3,6.12,1.1,0.0
20190103:1110,71812000.0,890.2,26.3,8.6,1.03,0.0
20190103:1210,74629000.0,943.24,28.43,10.4,0.9,0.0
20190103:1310,72402000.0,917.28,27.41,11.47,0.83,0.0
20190103:1410,63853000.0,795.95,23.36,12.1,0.97,0.0
20190103:1510,48319000.0,592.94,16.81,12.21,0.9,0.0
20190103:1610,25809000.0,326.4,8.38,11.78,0.41,0.0
20190103:1710,0.0,0.0,0.0,10.57,0.34,0.0
20190103:1810,0.0,0.0,0.0,9.3,0.48,0.0
20190103:1910,0.0,0.0,0.0,8.29,0.62,0.0
20190103:2010,0.0,0.0,0.0,7.3,0.97,0.0
20190103:2110,0.0,0.0,0.0,5.57,1.17,0.0
20190103:2210,0.0,0.0,0.0,5.54,1.03,0.0
20190103:2310,0.0,0.0,0.0,5.52,0.76,0.0
20190104:0010,0.0,0.0,0.0,5.15,0.62,0.0
20190104:0110,0.0,0.0,0.0,4.79,0.76,0.0
20190104:0210,0.0,0.0,0.0,4.45,0.9,0.0
20190104:0310,0.0,0.0,0.0,4.16,0.9,0.0
20190104:0410,0.0,0.0,0.0,3.82,0.62,0.0
20190104:0510,0.0,0.0,0.0,3.44,0.55,0.0
20190104:0610,0.0,0.0,0.0,3.15,0.83,0.0
20190104:0710,0.0,0.0,0.0,1.84,1.1,0.0
20190104:0810,20373000.0,246.69,5.05,0.73,1.31,0.0
20190104:0910,47516000.0,554.89,14.03,2.55,0.9,0.0
20190104:1010,64085000.0,775.63,21.34,6.07,0.83,0.0
20190104:1110,72067000.0,898.43,26.37,8.39,0.76,0.0
20190104:1210,74676000.0,950.98,28.53,10.12,0.55,0.0
20190104:1310,72551000.0,926.49,27.53,11.23,0.48,0.0
20190104:1410,63183000.0,791.03,23.5,11.79,0.62,0.0
20190104:1510,48175000.0,590.11,16.95,11.9,0.9,0.0
20190104:1610,25971000.0,325.86,8.52,11.43,1.17,0.0
20190104:1710,0.0,0.0,0.0,10.12,1.52,0.0
20190104:1810,0.0,0.0,0.0,7.76,1.24,0.0
20190104:1910,0.0,0.0,0.0,6.54,1.1,0.0
20190104:2010,0.0,0.0,0.0,5.4,1.24,0.0
20190104:2110,0.0,0.0,0.0,4.18,1.31,0.0
20190104:2210,0.0,0.0,0.0,3.47,1.24,0.0
20190104:2310,0.0,0.0,0.0,3.19,1.1,0.0
20190105:0010,0.0,0.0,0.0,3.43,0.97,0.0
20190105:0110,0.0,0.0,0.0,3.17,0.83,0.0
20190105:0210,0.0,0.0,0.0,2.72,0.9,0.0
20190105:0310,0.0,0.0,0.0,2.41,0.9,0.0
20190105:0410,0.0,0.0,0.0,2.18,0.76,0.0
20190105:0510,0.0,0.0,0.0,1.91,0.97,0.0
20190105:0610,0.0,0.0,0.0,0.91,1.17,0.0
20190105:0710,0.0,0.0,0.0,0.65,0.97,0.0
20190105:0810,18274000.0,223.69,5.05,1.1,0.9,0.0
20190105:0910,46903000.0,549.14,14.06,2.41,0.62,0.0
20190105:1010,65330000.0,794.39,21.39,6.05,0.69,0.0
20190105:1110,72556000.0,905.05,26.45,8.6,0.83,0.0
20190105:1210,76391000.0,966.65,28.64,10.27,0.97,0.0
20190105:1310,73580000.0,928.08,27.65,11.38,1.1,0.0
20190105:1410,64861000.0,805.18,23.63,11.98,1.24,0.0
20190105:1510,48486000.0,591.79,17.1,12.01,1.24,0.0
20190105:1610,27558000.0,345.31,8.67,11.37,1.03,0.0
20190105:1710,0.0,0.0,0.0,9.84,1.17,0.0
20190105:1810,0.0,0.0,0.0,8.08,0.97,0.0
20190105:1910,0.0,0.0,0.0,7.65,0.83,0.0
20190105:2010,0.0,0.0,0.0,7.33,0.14,0.0
20190105:2110,0.0,0.0,0.0,6.92,0.21,0.0
20190105:2210,0.0,0.0,0.0,6.39,0.48,0.0
20190105:2310,0.0,0.0,0.0,5.84,0.69,0.0
20190106:0010,0.0,0.0,0.0,5.28,0.9,0.0
20190106:0110,0.0,0.0,0.0,4.73,0.9,0.0
20190106:0210,0.0,0.0,0.0,4.29,0.97,0.0
20190106:0310,0.0,0.0,0.0,3.9,1.03,0.0
20190106:0410,0.0,0.0,0.0,3.55,1.1,0.0
20190106:0510,0.0,0.0,0.0,3.23,0.97,0.0
20190106:0610,0.0,0.0,0.0,2.98,0.69,0.0
20190106:0710,0.0,0.0,0.0,2.63,0.48,0.0
20190106:0810,20835000.0,255.44,5.07,2.73,0.41,0.0
20190106:0910,47855000.0,566.54,14.09,3.41,0.28,0.0
20190106:1010,64135000.0,788.68,21.45,6.4,0.21,0.0
20190106:1110,72454000.0,913.43,26.53,9.53,0.62,0.0
20190106:1210,76440000.0,968.46,28.75,10.96,1.1,0.0
20190106:1310,74870000.0,937.71,27.78,11.69,1.66,0.0
20190106:1410,66160000.0,814.82,23.78,11.99,1.86,0.0
20190106:1510,50043000.0,607.56,17.25,11.78,1.72,0.0
20190106:1610,28494000.0,355.33,8.82,10.86,1.17,0.0
20190106:1710,0.0,0.0,0.0,9.16,0.9,0.0
20190106:1810,0.0,0.0,0.0,7.79,0.69,0.0
20190106:1910,0.0,0.0,0.0,7.04,0.97,0.0
20190106:2010,0.0,0.0,0.0,6.64,0.9,0.0
20190106:2110,0.0,0.0,0.0,6.17,0.76,0.0
20190106:2210,0.0,0.0,0.0,5.79,0.69,0.0
20190106:2310,0.0,0.0,0.0,5.34,0.83,0.0
20190107:0010,0.0,0.0,0.0,4.86,0.97,0.0
20190107:0110,0.0,0.0,0.0,4.21,1.03,0.0
20190107:0210,0.0,0.0,0.0,3.68,1.1,0.0
20190107:0310,0.0,0.0,0.0,3.03,1.17,0.0
20190107:0410,0.0,0.0,0.0,2.06,1.31,0.0
20190107:0510,0.0,0.0,0.0,1.43,1.31,0.0
20190107:0610,0.0,0.0,0.0,1.18,1.31,0.0
20190107:0710,0.0,0.0,0.0,1.85,0.97,0.0
20190107:0810,20574000.0,250.43,5.09,1.6,1.03,0.0
20190107:0910,48705000.0,569.33,14.13,2.31,0.83,0.0
20190107:1010,64876000.0,785.71,21.52,5.91,0.83,0.0
20190107:1110,72638000.0,895.79,26.62,8.11,1.24,0.0
20190107:1210,77203000.0,959.45,28.87,9.46,1.66,0.0
20190107:1310,75318000.0,930.14,27.92,10.39,2.07,0.0
20190107:1410,66951000.0,814.88,23.93,10.91,2.34,0.0
20190107:1510,51032000.0,613.3,17.41,10.92,2.34,0.0
20190107:1610,29090000.0,359.3,8.98,9.99,1.93,0.0
20190107:1710,0.0,0.0,0.0,8.08,1.93,0.0
20190107:1810,0.0,0.0,0.0,6.05,2.0,0.0
20190107:1910,0.0,0.0,0.0,4.99,2.14,0.0
20190107:2010,0.0,0.0,0.0,3.26,2.0,0.0
20190107:2110,0.0,0.0,0.0,2.43,1.93,0.0
20190107:2210,0.0,0.0,0.0,1.77,1.86,0.0
20190107:2310,0.0,0.0,0.0,1.04,1.86,0.0
20190108:0010,0.0,0.0,0.0,0.31,1.79,0.0
20190108:0110,0.0,0.0,0.0,-0.39,1.79,0.0
20190108:0210,0.0,0.0,0.0,-1.06,1.79,0.0
20190108:0310,0.0,0.0,0.0,-1.47,1.72,0.0
20190108:0410,0.0,0.0,0.0,-1.62,1.66,0.0
20190108:0510,0.0,0.0,0.0,-1.6,1.45,0.0
20190108:0610,0.0,0.0,0.0,-1.59,1.31,0.0
20190108:0710,0.0,0.0,0.0,0.14,0.97,0.0
20190108:0810,20383000.0,246.86,5.12,0.13,0.97,0.0
20190108:0910,47846000.0,557.53,14.18,1.44,0.69,0.0
20190108:1010,64748000.0,780.41,21.59,5.06,0.83,0.0
20190108:1110,72429000.0,897.08,26.72,7.35,0.83,0.0
20190108:1210,76620000.0,968.41,28.99,9.04,0.76,0.0
20190108:1310,72813000.0,917.01,28.07,10.17,0.83,0.0
20190108:1410,65793000.0,817.17,24.09,10.82,0.97,0.0
20190108:1510,49570000.0,603.74,17.57,10.94,1.03,0.0
20190108:1610,28569000.0,354.99,9.14,10.36,1.17,0.0
20190108:1710,0.0,0.0,0.0,8.97,1.38,0.0
20190108:1810,0.0,0.0,0.0,6.73,0.97,0.0
20190108:1910,0.0,0.0,0.0,6.81,0.62,0.0
20190108:2010,0.0,0.0,0.0,5.92,0.55,0.0
20190108:2110,0.0,0.0,0.0,5.24,0.55,0.0
20190108:2210,0.0,0.0,0.0,4.79,0.62,0.0
20190108:2310,0.0,0.0,0.0,4.45,0.55,0.0
20190109:0010,0.0,0.0,0.0,4.16,0.62,0.0
20190109:0110,0.0,0.0,0.0,3.97,0.62,0.0
20190109:0210,0.0,0.0,0.0,3.88,0.76,0.0
20190109:0310,0.0,0.0,0.0,3.37,1.1,0.0
20190109:0410,0.0,0.0,0.0,1.66,1.38,0.0
20190109:0510,0.0,0.0,0.0,1.16,1.45,0.0
20190109:0610,0.0,0.0,0.0,0.6,1.59,0.0
20190109:0710,0.0,0.0,0.0,3.57,1.03,0.0
20190109:0810,20486000.0,248.37,5.15,0.89,1.52,0.0
20190109:0910,46395000.0,538.23,14.23,2.34,1.31,0.0
20190109:1010,64228000.0,765.9,21.67,6.74,1.93,0.0
20190109:1110,72618000.0,868.79,26.83,8.04,3.1,0.0
20190109:1210,77325000.0,932.83,29.12,9.04,3.38,0.0
20190109:1310,74866000.0,903.64,28.22,9.85,3.38,0.0
20190109:1410,65436000.0,785.31,24.25,10.4,3.1,0.0
20190109:1510,48580000.0,578.74,17.73,10.52,2.9,0.0
20190109:1610,27599000.0,340.13,9.3,9.99,2.34,0.0
20190109:1710,0.0,0.0,0.0,8.33,2.0,0.0
20190109:1810,0.0,0.0,0.0,6.51,1.72,0.0
20190109:1910,0.0,0.0,0.0,6.3,1.66,0.0
20190109:2010,0.0,0.0,0.0,5.43,1.66,0.0
20190109:2110,0.0,0.0,0.0,4.29,1.86,0.0
20190109:2210,0.0,0.0,0.0,3.29,2.0,0.0
20190109:2310,0.0,0.0,0.0,2.21,2.14,0.0
20190110:0010,0.0,0.0,0.0,1.1,2.41,0.0
20190110:0110,0.0,0.0,0.0,0.52,2.48,0.0
20190110:0210,0.0,0.0,0.0,0.12,2.62,0.0
20190110:0310,0.0,0.0,0.0,0.01,2.69,0.0
20190110:0410,0.0,0.0,0.0,-0.34,2.55,0.0
20190110:0510,0.0,0.0,0.0,-0.62,2.55,0.0
20190110:0610,0.0,0.0,0.0,-0.69,2.55,0.0
20190110:0710,0.0,0.0,0.0,-0.52,2.48,0.0
20190110:0810,20659000.0,248.08,5.19,-0.15,2.9,0.0
20190110:0910,48998000.0,559.97,14.29,2.08,3.1,0.0
20190110:1010,67541000.0,777.15,21.75,3.98,4.41,0.0
20190110:1110,76258000.0,887.06,26.95,5.19,4.9,0.0
20190110:1210,79983000.0,943.96,29.27,6.31,4.41,0.0
20190110:1310,76737000.0,908.66,28.38,7.21,4.14,0.0
20190110:1410,69505000.0,818.13,24.42,7.72,4.14,0.0
20190110:1510,51568000.0,601.88,17.91,7.74,4.14,0.0
20190110:1610,29760000.0,359.01,9.47,7.13,3.66,0.0
20190110:1710,0.0,0.0,0.0,5.77,2.9,0.0
20190110:1810,0.0,0.0,0.0,4.21,2.62,0.0
20190110:1910,0.0,0.0,0.0,3.88,2.9,0.0
20190110:2010,0.0,0.0,0.0,2.98,2.83,0.0
20190110:2110,0.0,0.0,0.0,2.21,2.76,0.0
20190110:2210,0.0,0.0,0.0,1.56,2.9,0.0
20190110:2310,0.0,0.0,0.0,1.03,2.97,0.0
20190111:0010,0.0,0.0,0.0,0.47,3.03,0.0
20190111:0110,0.0,0.0,0.0,-0.09,2.97,0.0
20190111:0210,0.0,0.0,0.0,-0.62,2.9,0.0
20190111:0310,0.0,0.0,0.0,-1.09,2.76,0.0
20190111:0410,0.0,0.0,0.0,-1.49,2.62,0.0
20190111:0510,0.0,0.0,0.0,-1.78,2.55,0.0
20190111:0610,0.0,0.0,0.0,-1.88,2.62,0.0
20190111:0710,0.0,0.0,0.0,-1.94,2.55,0.0
20190111:0810,22579000.0,267.8,5.23,-2.01,2.62,0.0
20190111:0910,48973000.0,555.19,14.36,-0.39,2.62,0.0
20190111:1010,67369000.0,769.72,21.85,1.4,3.72,0.0
20190111:1110,76463000.0,888.13,27.07,2.97,3.86,0.0
20190111:1210,81600000.0,960.86,29.41,4.28,3.79,0.0
20190111:1310,77824000.0,918.53,28.55,5.19,3.59,0.0
20190111:1410,69439000.0,814.48,24.6,5.71,3.45,0.0
20190111:1510,51998000.0,604.6,18.08,5.67,3.24,0.0
20190111:1610,29812000.0,357.52,9.65,5.05,2.62,0.0
20190111:1710,0.0,0.0,0.0,3.15,2.34,0.0
20190111:1810,0.0,0.0,0.0,1.67,2.07,0.0
20190111:1910,0.0,0.0,0.0,1.33,2.07,0.0
20190111:2010,0.0,0.0,0.0,0.21,1.93,0.0
20190111:2110,0.0,0.0,0.0,-0.83,1.79,0.0
20190111:2210,0.0,0.0,0.0,-1.31,1.86,0.0
20190111:2310,0.0,0.0,0.0,-1.71,2.07,0.0
20190112:0010,0.0,0.0,0.0,-1.89,2.14,0.0
20190112:0110,0.0,0.0,0.0,-2.08,2.07,0.0
20190112:0210,0.0,0.0,0.0,-2.3,2.0,0.0
20190112:0310,0.0,0.0,0.0,-2.5,2.0,0.0
20190112:0410,0.0,0.0,0.0,-2.65,2.0,0.0
20190112:0510,0.0,0.0,0.0,-2.76,2.0,0.0
20190112:0610,0.0,0.0,0.0,-2.86,2.0,0.0
20190112:0710,0.0,0.0,0.0,-2.88,1.72,0.0
20190112:0810,21303000.0,253.4,5.29,-3.02,1.59,0.0
20190112:0910,47215000.0,541.91,14.44,-0.21,1.24,0.0
20190112:1010,65613000.0,770.47,21.95,2.95,1.79,0.0
20190112:1110,74117000.0,888.79,27.2,4.91,1.93,0.0
20190112:1210,77451000.0,947.16,29.57,6.51,1.66,0.0
20190112:1310,75060000.0,920.71,28.72,7.67,1.59,0.0
20190112:1410,67493000.0,816.18,24.78,8.31,1.86,0.0
20190112:1510,50647000.0,602.09,18.27,8.37,2.07,0.0
20190112:1610,30131000.0,367.56,9.83,7.71,1.59,0.0
20190112:1710,0.0,0.0,0.0,6.4,1.66,0.0
20190112:1810,0.0,0.0,0.0,4.33,1.59,0.0
20190112:1910,0.0,0.0,0.0,3.02,1.45,0.0
20190112:2010,0.0,0.0,0.0,2.06,1.38,0.0
20190112:2110,0.0,0.0,0.0,1.03,1.52,0.0
20190112:2210,0.0,0.0,0.0,0.58,1.52,0.0
20190112:2310,0.0,0.0,0.0,0.64,1.38,0.0
20190113:0010,0.0,0.0,0.0,0.81,1.31,0.0
20190113:0110,0.0,0.0,0.0,0.57,1.31,0.0
20190113:0210,0.0,0.0,0.0,0.24,1.31,0.0
20190113:0310,0.0,0.0,0.0,-0.15,1.38,0.0
20190113:0410,0.0,0.0,0.0,-0.61,1.52,0.0
20190113:0510,0.0,0.0,0.0,-0.76,1.45,0.0
20190113:0610,0.0,0.0,0.0,-0.97,1.45,0.0
20190113:0710,0.0,0.0,0.0,0.98,1.03,0.0
20190113:0810,20403000.0,247.28,5.34,0.25,1.17,0.0
20190113:0910,48205000.0,561.81,14.52,1.77,0.83,0.0
20190113:1010,65016000.0,780.98,22.05,5.56,1.17,0.0
20190113:1110,74097000.0,901.69,27.33,7.17,1.79,0.0
20190113:1210,77916000.0,959.57,29.73,8.33,1.86,0.0
20190113:1310,74184000.0,910.98,28.9,9.19,1.93,0.0
20190113:1410,67578000.0,822.6,24.97,9.67,1.93,0.0
20190113:1510,50663000.0,607.12,18.45,9.68,1.93,0.0
20190113:1610,29875000.0,366.53,10.01,9.09,1.59,0.0
20190113:1710,0.0,0.0,0.0,7.71,1.59,0.0
20190113:1810,0.0,0.0,0.0,5.61,0.97,0.0
20190113:1910,0.0,0.0,0.0,6.43,0.69,0.0
20190113:2010,0.0,0.0,0.0,5.6,0.69,0.0
20190113:2110,0.0,0.0,0.0,5.04,0.69,0.0
20190113:2210,0.0,0.0,0.0,4.68,0.55,0.0
20190113:2310,0.0,0.0,0.0,4.44,0.41,0.0
20190114:0010,0.0,0.0,0.0,4.26,0.34,0.0
20190114:0110,0.0,0.0,0.0,4.04,0.28,0.0
20190114:0210,0.0,0.0,0.0,3.79,0.41,0.0
20190114:0310,0.0,0.0,0.0,3.62,0.62,0.0
20190114:0410,0.0,0.0,0.0,3.34,0.76,0.0
20190114:0510,0.0,0.0,0.0,3.05,0.76,0.0
20190114:0610,0.0,0.0,0.0,2.84,0.9,0.0
20190114:0710,0.0,0.0,0.0,3.17,0.62,0.0
20190114:0810,21066000.0,258.66,5.41,3.07,0.76,0.0
20190114:0910,46182000.0,544.8,14.6,3.74,0.48,0.0
20190114:1010,61171000.0,749.94,22.17,7.32,0.28,0.0
20190114:1110,69830000.0,881.31,27.47,9.93,0.41,0.0
20190114:1210,72980000.0,933.54,29.9,11.26,0.48,0.0
20190114:1310,70517000.0,893.36,29.08,12.12,0.83,0.0
20190114:1410,64348000.0,799.61,25.16,12.64,1.31,0.0
20190114:1510,49254000.0,599.28,18.65,12.66,1.72,0.0
20190114:1610,28895000.0,359.54,10.2,11.99,1.52,0.0
20190114:1710,0.0,0.0,0.0,10.53,1.52,0.0
20190114:1810,0.0,0.0,0.0,8.22,0.97,0.0
20190114:1910,0.0,0.0,0.0,8.35,0.69,0.0
20190114:2010,0.0,0.0,0.0,7.73,0.62,0.0
20190114:2110,0.0,0.0,0.0,7.08,0.76,0.0
20190114:2210,0.0,0.0,0.0,6.23,1.03,0.0
20190114:2310,0.0,0.0,0.0,5.48,1.17,0.0
20190115:0010,0.0,0.0,0.0,4.98,1.31,0.0
20190115:0110,0.0,0.0,0.0,4.26,1.31,0.0
20190115:0210,0.0,0.0,0.0,2.69,1.52,0.0
20190115:0310,0.0,0.0,0.0,1.57,1.59,0.0
20190115:0410,0.0,0.0,0.0,1.0,1.59,0.0
20190115:0510,0.0,0.0,0.0,0.44,1.52,0.0
20190115:0610,0.0,0.0,0.0,0.04,1.52,0.0
20190115:0710,0.0,0.0,0.0,1.5,1.1,0.0
20190115:0810,19669000.0,239.75,5.48,0.99,1.17,0.0
20190115:0910,44621000.0,522.93,14.69,3.12,0.69,0.0
20190115:1010,60949000.0,735.5,22.29,6.36,0.83,0.0
20190115:1110,69381000.0,858.26,27.62,8.93,1.03,0.0
20190115:1210,75214000.0,949.58,30.07,10.82,1.1,0.0
20190115:1310,69621000.0,869.03,29.28,12.17,1.52,0.0
20190115:1410,62897000.0,774.49,25.36,12.79,1.86,0.0
20190115:1510,49603000.0,602.55,18.84,12.78,2.0,0.0
20190115:1610,14600000.0,188.82,10.39,12.24,1.59,0.0
20190115:1710,0.0,0.0,0.0,10.94,1.52,0.0
20190115:1810,0.0,0.0,0.0,8.38,1.38,0.0
20190115:1910,0.0,0.0,0.0,6.76,1.31,0.0
20190115:2010,0.0,0.0,0.0,5.49,1.38,0.0
20190115:2110,0.0,0.0,0.0,4.46,1.38,0.0
20190115:2210,0.0,0.0,0.0,3.38,1.45,0.0
20190115:2310,0.0,0.0,0.0,2.27,1.52,0.0
20190116:0010,0.0,0.0,0.0,1.36,1.59,0.0
20190116:0110,0.0,0.0,0.0,0.78,1.45,0.0
20190116:0210,0.0,0.0,0.0,0.41,1.38,0.0
20190116:0310,0.0,0.0,0.0,0.22,1.31,0.0
20190116:0410,0.0,0.0,0.0,0.04,1.31,0.0
20190116:0510,0.0,0.0,0.0,-0.09,1.24,0.0
20190116:0610,0.0,0.0,0.0,-0.35,1.24,0.0
20190116:0710,0.0,0.0,0.0,0.22,1.31,0.0
20190116:0810,13836000.0,172.88,5.55,0.08,1.24,0.0
20190116:0910,33464000.0,391.61,14.79,3.11,0.55,0.0
20190116:1010,21478000.0,259.91,22.42,6.67,0.76,0.0
20190116:1110,19755000.0,242.08,27.78,8.39,1.79,0.0
20190116:1210,51652000.0,617.58,30.25,9.56,2.14,0.0
20190116:1310,51115000.0,612.61,29.47,10.19,2.14,0.0
20190116:1410,43385000.0,517.76,25.56,10.54,2.28,0.0
20190116:1510,21031000.0,257.48,19.04,10.59,2.41,0.0
20190116:1610,30384000.0,372.37,10.58,10.04,2.21,0.0
20190116:1710,0.0,0.0,0.0,8.71,1.72,0.0
20190116:1810,0.0,0.0,0.0,6.94,1.66,0.0
20190116:1910,0.0,0.0,0.0,5.99,0.97,0.0
20190116:2010,0.0,0.0,0.0,5.74,0.83,0.0
20190116:2110,0.0,0.0,0.0,5.59,0.55,0.0
20190116:2210,0.0,0.0,0.0,5.1,0.34,0.0
20190116:2310,0.0,0.0,0.0,4.58,0.41,0.0
20190117:0010,0.0,0.0,0.0,4.02,0.48,0.0
20190117:0110,0.0,0.0,0.0,3.58,0.34,0.0
20190117:0210,0.0,0.0,0.0,3.35,0.28,0.0
20190117:0310,0.0,0.0,0.0,3.26,0.34,0.0
20190117:0410,0.0,0.0,0.0,3.14,0.34,0.0
20190117:0510,0.0,0.0,0.0,3.11,0.55,0.0
20190117:0610,0.0,0.0,0.0,2.44,0.97,0.0
20190117:0710,0.0,0.0,0.0,2.79,0.28,0.0
20190117:0810,3203000.0,51.61,5.63,2.89,0.07,0.0
20190117:0910,10690000.0,137.24,14.9,3.88,0.14,0.0
20190117:1010,20582000.0,248.48,22.55,5.24,0.62,0.0
20190117:1110,10439000.0,136.27,27.94,6.53,1.1,0.0
20190117:1210,11776000.0,152.03,30.44,7.37,1.03,0.0
20190117:1310,55654000.0,671.22,29.68,8.07,1.1,0.0
20190117:1410,31354000.0,374.75,25.77,8.4,1.24,0.0
20190117:1510,13669000.0,173.34,19.25,8.56,1.52,0.0
20190117:1610,13011000.0,167.19,10.78,8.48,1.93,0.0
20190117:1710,0.0,0.0,0.0,7.97,1.86,0.0
20190117:1810,0.0,0.0,0.0,7.12,2.21,0.0
20190117:1910,0.0,0.0,0.0,6.15,2.41,0.0
20190117:2010,0.0,0.0,0.0,5.49,2.07,0.0
20190117:2110,0.0,0.0,0.0,4.87,1.59,0.0
20190117:2210,0.0,0.0,0.0,3.48,1.45,0.0
20190117:2310,0.0,0.0,0.0,2.58,1.38,0.0
20190118:0010,0.0,0.0,0.0,2.19,1.45,0.0
20190118:0110,0.0,0.0,0.0,1.57,1.66,0.0
20190118:0210,0.0,0.0,0.0,1.07,1.72,0.0
20190118:0310,0.0,0.0,0.0,0.54,1.79,0.0
20190118:0410,0.0,0.0,0.0,0.19,1.72,0.0
20190118:0510,0.0,0.0,0.0,-0.02,1.66,0.0
20190118:0610,0.0,0.0,0.0,-0.29,1.52,0.0
20190118:0710,0.0,0.0,0.0,0.44,1.24,0.0
20190118:0810,23767000.0,286.99,5.72,0.82,1.03,0.0
20190118:0910,42778000.0,499.73,15.01,2.16,0.48,0.0
20190118:1010,58308000.0,692.88,22.69,4.73,1.03,0.0
20190118:1110,50330000.0,598.65,28.11,6.46,1.1,0.0
20190118:1210,40060000.0,477.21,30.64,7.79,1.17,0.0
20190118:1310,61878000.0,751.3,29.89,8.61,1.38,0.0
20190118:1410,54319000.0,648.91,25.98,8.93,2.0,0.0
20190118:1510,21771000.0,263.96,19.46,8.98,2.55,0.0
20190118:1610,27387000.0,332.87,10.98,8.58,2.76,0.0
20190118:1710,0.0,0.0,0.0,7.45,2.14,0.0
20190118:1810,0.0,0.0,0.0,5.74,2.21,0.0
20190118:1910,0.0,0.0,0.0,5.57,1.59,0.0
20190118:2010,0.0,0.0,0.0,4.83,1.52,0.0
20190118:2110,0.0,0.0,0.0,4.3,1.59,0.0
20190118:2210,0.0,0.0,0.0,3.74,1.59,0.0
20190118:2310,0.0,0.0,0.0,2.72,1.59,0.0
20190119:0010,0.0,0.0,0.0,2.12,1.45,0.0
20190119:0110,0.0,0.0,0.0,1.81,1.38,0.0
20190119:0210,0.0,0.0,0.0,1.34,1.31,0.0
20190119:0310,0.0,0.0,0.0,0.65,1.45,0.0
20190119:0410,0.0,0.0,0.0,0.27,1.52,0.0
20190119:0510,0.0,0.0,0.0,0.47,1.31,0.0
