time,P,G(i),H_sun,T2m,WS10m,Int
20190721:1310,57896000.0,828.43,69.14,36.39,0.83,0.0
20190721:1410,37055000.0,517.39,60.6,37.15,0.9,0.0
20190721:1510,44164000.0,619.84,49.77,37.66,0.9,0.0
20190721:1610,35628000.0,501.12,38.22,37.63,1.1,0.0
20190721:1710,17264000.0,261.84,26.52,37.49,1.38,0.0
20190721:1810,5351000.0,88.59,15.01,36.5,1.79,0.0
20190721:1910,175000.0,10.49,3.94,36.36,1.52,0.0
20190721:2010,0.0,0.0,0.0,34.52,0.62,0.0
20190721:2110,0.0,0.0,0.0,32.36,1.93,0.0
20190721:2210,0.0,0.0,0.0,30.9,1.86,0.0
20190721:2310,0.0,0.0,0.0,29.69,1.93,0.0
20190722:0010,0.0,0.0,0.0,28.58,2.62,0.0
20190722:0110,0.0,0.0,0.0,27.44,2.69,0.0
20190722:0210,0.0,0.0,0.0,26.33,2.34,0.0
20190722:0310,0.0,0.0,0.0,25.26,2.07,0.0
20190722:0410,0.0,0.0,0.0,24.31,1.59,0.0
20190722:0510,0.0,0.0,0.0,23.46,1.38,0.0
20190722:0610,2699000.0,53.51,10.17,23.38,1.45,0.0
20190722:0710,16167000.0,239.84,21.54,25.33,1.79,0.0
20190722:0810,34345000.0,455.72,33.2,27.64,1.93,0.0
20190722:0910,51169000.0,681.54,44.85,29.96,2.0,0.0
20190722:1010,62342000.0,851.55,56.08,32.1,2.07,0.0
20190722:1110,68508000.0,957.26,65.86,34.05,2.14,0.0
20190722:1210,71068000.0,1003.68,71.42,35.59,2.34,0.0
20190722:1310,69269000.0,980.92,68.97,36.82,2.34,0.0
20190722:1410,61929000.0,868.61,60.47,37.59,2.34,0.0
20190722:1510,50716000.0,701.56,49.66,37.94,2.41,0.0
20190722:1610,35821000.0,498.81,38.12,38.28,2.55,0.0
20190722:1710,17813000.0,271.26,26.42,36.87,4.83,0.0
20190722:1810,4220000.0,80.76,14.9,33.63,4.55,0.0
20190722:1910,583000.0,18.36,3.82,33.96,0.69,0.0
20190722:2010,0.0,0.0,0.0,32.62,0.48,0.0
20190722:2110,0.0,0.0,0.0,30.63,1.31,0.0
20190722:2210,0.0,0.0,0.0,29.34,1.59,0.0
